No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
1;B2B;Lembaga ;2021;Januari;6656,48;3319,59;1148,24;211,68;59,91;1527,66;46,60;71,89;98,52;27,96;51,92;93,19;1
2;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2021;Januari;13,12;6,54;2,26;0,42;0,12;3,01;0,09;0,14;0,19;0,06;0,10;0,18;1
3;CAKUNG;Kota Jakarta Timur;2021;Januari;9546,66;4760,92;1646,80;303,58;85,92;2190,96;66,83;103,10;141,29;40,10;74,46;133,65;1
4;CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Januari;1686,3;840,96;290,89;53,62;15,18;387,01;11,80;18,21;24,96;7,08;13,15;23,61;1
5;CENGKARENG;Kota Jakarta Barat;2021;Januari;6588,62;3285,74;1136,54;209,52;59,30;1512,09;46,12;71,16;97,51;27,67;51,39;92,24;1
6;CILANDAK;Kota Jakarta Selatan;2021;Januari;3744,72;1867,49;645,96;119,08;33,70;859,41;26,21;40,44;55,42;15,73;29,21;52,43;1
7;CILINCING;Kota Jakarta Utara;2021;Januari;6293,62;3138,63;1085,65;200,14;56,64;1444,39;44,06;67,97;93,15;26,43;49,09;88,11;1
8;CIPAYUNG;Kota Jakarta Timur;2021;Januari;3665,6;1828,03;632,32;116,57;32,99;841,26;25,66;39,59;54,25;15,40;28,59;51,32;1
9;CIRACAS;Kota Jakarta Timur;2021;Januari;4154,18;2071,69;716,60;132,10;37,39;953,38;29,08;44,87;61,48;17,45;32,40;58,16;1
10;DUREN SAWIT;Kota Jakarta Timur;2021;Januari;7028,66;3505,19;1212,44;223,51;63,26;1613,08;49,20;75,91;104,02;29,52;54,82;98,40;1
11;GAMBIR;Kota Jakarta Pusat;2021;Januari;2148,12;1071,27;370,55;68,31;19,33;492,99;15,04;23,20;31,79;9,02;16,76;30,07;1
12;GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Januari;4607,9;2297,96;794,86;146,53;41,47;1057,51;32,26;49,77;68,20;19,35;35,94;64,51;1
13;JAGAKARSA;Kota Jakarta Selatan;2021;Januari;5076,28;2531,54;875,66;161,43;45,69;1165,01;35,53;54,82;75,13;21,32;39,59;71,07;1
